,Date,Ordinary Shares Number,Stockholders Equity,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Current Liabilities,Current Debt And Capital Lease Obligation,Accounts Payable,Total Assets,Current Assets,Inventory,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Free Cash Flow,Cash Dividends Paid,Operating Cash Flow,Tax Rate For Calcs,EBITDA,EBIT,Interest Expense,Basic EPS,Net Income,Net Income Continuous Operations,Gross Profit,Cost Of Revenue,Total Revenue,Close price,Market cap,Debt to equity,Interest coverage,Current ratio,Cash ratio,Sales to assets,Days in inventory,Account receiveable days,Account payable days,Gross profit margin,EBITDA margin,EBIT margin,Profit margin from continuing operations,Net profit margin,Return on Assets,Dividend per share,Payout ratio,Return on Equity,P/E,Dividend yield,Beta,RevGR,DivGR,FCFGR,rE(Beta),rE(Dividend),rE,Total debt,rD,wE,wD,WACC,Growth,RollingFCF,FCF6,Discounted terminal value,Growing annuity,Total value now,DCF fair share value,Share px relative to fair value,ticker
0,2024-12-31,1550546239.0,40786000000.0,63164000000.0,27619000000.0,27866000000.0,2495000000.0,22465000000.0,104035000000.0,25827000000.0,5288000000.0,12972000000.0,5654000000.0,1952000000.0,3000000.0,2907000000.0,0.09964,4432000000.0,2095000000.0,429000000.0,0.485,1500000000.0,1500000000.0,12166000000.0,2725000000.0,14891000000.0,64.59730529785156,100161108779.11852,1.5486686608149856,10.331002331002331,0.9268283930237565,0.20289959089930382,0.1431345220358533,708.3009174311927,317.9625277012961,3009.0733944954127,0.8170035591968303,0.2976294406017057,0.14068900678262036,0.10073198576321268,0.10073198576321268,0.10073198576321268,0.0019348020230179025,0.002,0.03677732555288579,133.1903202017558,2.9951745109129993e-05,0.201,0.22111532479594492,1605.1544148550865,1.1596048282144282,0.05691019999999991,1605.2025219827262,0.05691019999999991,30114000000.0,0.014245865710300856,0.7688430254849505,0.23115697451504946,0.04671992393543841,0.22111532479594492,1988500000.0,26370943984.955147,503071499431.15936,16163490179.919909,519234989611.0793,334.8723027737319,0.19290130823837937,AZN
1,2024-09-30,1550294658.0,40719000000.0,64117000000.0,29992000000.0,25926000000.0,1570000000.0,21684000000.0,104922000000.0,24155000000.0,5662000000.0,11879000000.0,4930000000.0,2025000000.0,1576000000.0,3383000000.0,0.22,4102000000.0,2285000000.0,457000000.0,0.46,1429000000.0,1433000000.0,10484000000.0,3081000000.0,13565000000.0,76.81282806396484,119082517013.43718,1.5746211842137576,8.975929978118161,0.9316901951708709,0.19015659955257272,0.1292865176035531,670.7659850697826,319.6339845189827,2568.8607594936707,0.7728713601179507,0.3023958717287136,0.16844821231109472,0.10563951345374124,0.10534463693328419,0.10534463693328419,1.0165809395442038,1.1028691392582226,0.03509418207716299,166.9844088347062,0.013234520394141195,0.201,0.3910062661260597,-3.9923870222320503,-0.14419753086419754,0.05691019999999991,-4.031989829304944,0.05691019999999991,31562000000.0,0.014479437298016602,0.7904868983901701,0.20951310160982994,0.04735300030270474,0.3910062661260597,2221000000.0,64355114622.72382,1205683953972.9019,28158202648.37283,1233842156621.2747,795.8759002711307,0.09651357458844657,AZN
2,2024-06-30,1550268075.0,39512000000.0,64742000000.0,28174000000.0,28566000000.0,5359000000.0,20463000000.0,104340000000.0,25393000000.0,5667000000.0,11047000000.0,7076000000.0,2417000000.0,17000000.0,3085000000.0,0.2,4119000000.0,2840000000.0,443000000.0,0.62,1927000000.0,1928000000.0,10755000000.0,2183000000.0,12938000000.0,76.37299346923828,118398613567.54361,1.6385401903219274,9.297968397291196,0.8889238955401526,0.24770706434222503,0.12399846655165804,947.5286303252404,311.6521100633792,3421.436097114063,0.8312722213634256,0.3183645076518782,0.219508424795177,0.14901839542433143,0.14894110372545988,0.14894110372545988,0.010965845374839444,0.008822003113648157,0.04876999392589593,123.18224753102949,0.00014358276239697604,0.201,0.19384758076982533,366.81717087738457,-0.6487381050889532,0.05691019999999991,366.8699830828362,0.05691019999999991,33533000000.0,0.013210866907225718,0.7792888575813594,0.22071114241864065,0.04668211316467413,0.19384758076982533,1649000000.0,19097387008.364563,364712130273.0107,12447474538.44049,377159604811.4512,243.28670047046617,0.31392177756346196,AZN
3,2024-03-31,1550221288.0,37445000000.0,64792000000.0,28220000000.0,28901000000.0,6331000000.0,19699000000.0,102293000000.0,25594000000.0,5337000000.0,11072000000.0,8021000000.0,881000000.0,3033000000.0,2486000000.0,0.22,4468000000.0,3213000000.0,413000000.0,0.705,2179000000.0,2180000000.0,10461000000.0,2218000000.0,12679000000.0,65.89791870117188,102156356405.44995,1.7303244758979837,10.818401937046005,0.8855748936022975,0.2775336493546936,0.12394787522117838,878.270964833183,318.7380708257749,3241.720018034265,0.8250650682230459,0.35239372190235824,0.25341115229907724,0.1719378499881694,0.17185897941478034,0.17185897941478034,1.956494871717953,1.3919229004130336,0.058192014955267726,93.47222510804522,0.029689782473860747,0.201,0.08170991403107501,-3.977580630476766,6.973893303064699,0.05691019999999991,-4.065984351694002,0.05691019999999991,34551000000.0,0.011953344331567826,0.7472630521979533,0.2527369478020467,0.044883310127858025,0.08170991403107501,1157500000.0,7417300115.738861,149319213844.5761,6428963788.896741,155748177633.47284,100.4683517373249,0.655907234085639,AZN
4,2023-12-31,1550162626.0,39143000000.0,61953000000.0,23222000000.0,30542000000.0,5400000000.0,3267000000.0,101119000000.0,25054000000.0,5424000000.0,8407000000.0,5860000000.0,1434000000.0,2000000.0,2380000000.0,0.07,2669000000.0,1342000000.0,445000000.0,0.31,960000000.0,959000000.0,9716000000.0,2308000000.0,12024000000.0,64.9971923828125,100756218426.76782,1.582735099506936,5.997752808988764,0.8203130115905966,0.19186693733219828,0.11890940377179363,857.7816291161179,255.2025116433799,516.6616117850954,0.8080505655355955,0.22197272122421824,0.11161011310711909,0.07975715236194278,0.07984031936127745,0.07984031936127745,0.001290187214202647,0.0020833333333333333,0.024525457936284904,209.66836252520162,1.9849891463062904e-05,0.201,0.2178975382568197,6061.770456195671,-1.5425383542538353,0.05691019999999991,6061.890801531192,0.05691019999999991,28622000000.0,0.015547480958703095,0.778772653171129,0.22122734682887102,0.047518868451500156,0.2178975382568197,1434000000.0,18718612695.20582,349046018153.5982,11526063472.216421,360572081625.81464,232.60274475602964,0.2794343310565238,AZN
0,2024-12-31,897538000.0,14192100000.0,64443300000.0,28527100000.0,28376600000.0,5117100000.0,3228600000.0,78714900000.0,32739700000.0,7589200000.0,11005700000.0,3423200000.0,726600000.0,1168300000.0,2473800000.0,0.124814,5748200000.0,5263400000.0,224700000.0,4.913218,4409800000.0,4409800000.0,11129000000.0,2403800000.0,13532800000.0,770.6717529296875,691707183781.0059,4.5407867757414335,25.581664441477525,1.1537569687700429,0.12063460738777726,0.171921707326059,1152.3662534320658,296.8403065145424,490.2400366087029,0.8223723102388272,0.4247605816978009,0.3889365098131946,0.32586013241901157,0.32586013241901157,0.32586013241901157,1.3016719069276175,0.26493265000680305,0.3107221623297468,156.8568203018241,0.0016890094933145628,0.412,0.4215989408522549,0.14952901622343748,-12.101886714894125,0.07172240000000007,0.15147058164467941,0.07172240000000007,33644200000.0,0.006678714310341753,0.9536166873707135,0.04638331262928652,0.06866679339961458,0.4215989408522549,395000000.0,13041262430.295763,146958626156.0771,5036561712.0339775,151995187868.11105,169.3467996542888,4.550849230708623,LLY
1,2024-09-30,899850000.0,14240000000.0,61286200000.0,29045400000.0,24674100000.0,2074300000.0,2886500000.0,75606900000.0,31415100000.0,7459800000.0,10294800000.0,3518400000.0,63400000.0,1170500000.0,3711900000.0,0.389,2247900000.0,1781100000.0,192700000.0,1.078291,970300000.0,970300000.0,9268300000.0,2170800000.0,11439100000.0,882.9534301757812,794525644143.6768,4.303806179775281,11.665282823040997,1.2732014541563825,0.14259486668206744,0.1512970377042307,1254.296572692095,328.48755583918313,485.3383545236779,0.8102298257730066,0.196510214964464,0.1557028087874046,0.0848231067129407,0.0848231067129407,0.0848231067129407,1.30077235094738,1.2063279398124291,0.06813904494382023,818.8452191252464,0.0014732060678312538,0.412,0.7321205339580911,0.002766221098049084,-10.333405970799738,0.07172240000000007,0.004243502379586947,0.07172240000000007,31119700000.0,0.0061922190766620505,0.9623086350323019,0.03769136496769809,0.06916168808382886,0.7321205339580911,63400000.0,6848854034.334269,76405599674.29137,1683002841.9269614,78088602516.21832,86.77957716977087,10.174668498884465,LLY
2,2024-06-30,900416000.0,13562000000.0,58239300000.0,23730400000.0,27121200000.0,5161600000.0,2924800000.0,71874800000.0,30204300000.0,6481500000.0,11027900000.0,3364000000.0,63400000.0,1172400000.0,1466200000.0,0.156,4115200000.0,3700800000.0,183600000.0,3.295144,2967000000.0,2967000000.0,9132600000.0,2170200000.0,11302800000.0,910.0159912109375,819392958742.1875,4.294300250700487,22.413943355119827,1.113678598292111,0.12403580962494284,0.15725678541018548,1090.1057506220625,356.1226864139859,491.91410929868215,0.8079944792440811,0.3640867749584174,0.3274232933432424,0.2625013271047882,0.2625013271047882,0.2625013271047882,1.302064823370531,0.39514661274014157,0.218773042324141,276.16880816466215,0.001430815321869128,0.412,0.04823583536822734,-0.003970531727614581,-32.95268138801262,0.07172240000000007,-0.0025453975033772917,0.07172240000000007,28892000000.0,0.006354700263048595,0.9659406904457669,0.034059309554233086,0.06946225715408326,0.04823583536822734,73300000.0,388971678.86652917,4313056640.886327,345246374.07982796,4658303014.966155,5.1735009317539395,175.8994543956563,LLY
3,2024-03-31,900403000.0,12812200000.0,51046100000.0,24559900000.0,18598100000.0,1651500000.0,2473700000.0,63943500000.0,25188800000.0,6101800000.0,7885600000.0,2586300000.0,83200000.0,1169200000.0,1166000000.0,0.116,3116300000.0,2715700000.0,179600000.0,2.490996,2242900000.0,2242900000.0,7094500000.0,1673500000.0,8768000000.0,755.6404418945312,680380920803.1616,3.984179141755514,17.351336302895323,1.3543749092649249,0.13906259241535426,0.13712105217887666,1330.8377651628323,328.2668795620438,539.5282342396175,0.8091354927007299,0.3554174270072993,0.3097285583941606,0.255805200729927,0.255805200729927,0.255805200729927,1.2985296583863004,0.5212894021133354,0.17505970871513088,303.348717498756,0.0017184491279088304,0.412,1.1563868613138686,0.01088974737357562,-0.9519230769230769,0.07172240000000007,0.012626909978361718,0.07172240000000007,26211400000.0,0.006851980435993499,0.9629044935413305,0.03709550645866955,0.06928651432068277,1.1563868613138686,83200000.0,33461343934.102394,372351453394.2249,5339785687.1568,377691239081.3817,419.469103369693,1.8014209767162719,LLY
4,2023-12-31,899379000.0,10771900000.0,53142600000.0,18320800000.0,27293200000.0,6904500000.0,2598800000.0,64006300000.0,25727000000.0,5772800000.0,9090500000.0,2927700000.0,83200000.0,1018100000.0,-311900000.0,0.127192,3034700000.0,2647000000.0,138200000.0,2.434569,2189700000.0,2189700000.0,7565400000.0,1788000000.0,9353400000.0,578.1437377929688,519970336752.50244,4.933447209870125,21.95875542691751,0.9426157431155013,0.10726847712983453,0.14613249008300747,1178.4519015659955,354.74078944554924,530.5156599552573,0.8088395663608955,0.3244488635148716,0.2829986956614707,0.23410738341137982,0.23410738341137982,0.23410738341137982,1.1320033045023288,0.4649495364661826,0.20327890158653533,237.47272629897478,0.0019579963087098164,0.412,-0.2503474672311673,0.5884306281497398,-4.16953642384106,0.07172240000000007,0.5915407694562986,0.07172240000000007,25225300000.0,0.005478626616928242,0.9537316546583968,0.04626834534160318,0.06862516869936411,0.005,83200000.0,342909635.126245,3867441454.4880133,347336544.76019335,4214777999.2482066,4.686320226787824,123.36838069413145,LLY
